celex,readable_name,cluster_id,cluster_name
12007P,Charter of Fundamental Rights [Charter Charter | Charter of Fundamental Rights of the European Union],9,Criminal Justice & Fundamental Rights
31958R0001,EEC Council Regulation 58/1,19,Other
31971R1408,Regulation (EEC) No 1408/71,19,Other
31972R0922,Regulation (EEC) No 922/72,19,Other
31976L0207,Equal Treatment Directive [Directive 76/207/EEC],19,Other
31977L0453,Directive 77/453/EEC,19,Other
31977L0799,Directive 77/799/EEC,19,Other
31979R0234,Regulation (EEC) No 234/79,19,Other
31980L0155,Directive 80/155/EEC,19,Other
31980L0777,Directive 80/777/EEC,19,Other
31982L0891,Directive 82/891/EEC,19,Other
31983L0349,Seventh Company Law Directive [Directive 83/349/EEC],19,Other
31985L0374,Product Liability Directive [Directive 85/374/EEC],19,Other
31985L0384,Directive 85/384/EEC,19,Other
31985L0432,Directive 85/432/EEC,19,Other
31985L0611,UCITS Directive [Directive 85/611/EEC],19,Other
31987L0328,Directive 87/328/EEC,19,Other
31988L0361,Directive 88/361/EEC,19,Other
31988L0388,Flavourings Directive [Directive 88/388/EEC],19,Other
31988L0661,Directive 88/661/EEC,19,Other
31989L0106,Construction Products Directive [Council Directive 89/106/EEC],19,Other
31989L0108,Quick-Frozen Foods Directive [Directive 89/108/EEC],19,Other
31989L0361,Directive 89/361/EEC,19,Other
31989L0391,Framework Health and Safety Directive [Directive 89/391/EEC],19,Other
31989L0552,Television Without Frontiers Directive [Directive 89/552/EEC],19,Other
31989L0608,Directive 89/608/EEC,19,Other
31989L0665,Directive 89/665/EEC,19,Other
31989L0666,Directive 89/666/EEC,19,Other
31990L0219,Directive 90/219/EEC,19,Other
31990L0427,Directive 90/427/EEC,19,Other
31990R3037,NACE Regulation [Regulation (EEC) No 3037/90],19,Other
31991L0271,Urban Waste Water Treatment Directive [Directive 91/271/EEC],19,Other
31991L0414,Plant Protection Products Directive [Directive 91/414/EEC],19,Other
31991L0439,First Driving Licence Directive [Directive 91/439/EEC],19,Other
31991L0440,Railway Development Directive [Directive 91/440/EEC],19,Other
31991L0477,Firearms Directive [Directive 91/477/EEC],19,Other
31991L0496,Directive 91/496/EEC,19,Other
31991L0672,Directive 91/672/EEC,19,Other
31991L0675,Directive 91/675/EEC,19,Other
31991L0676,Nitrates Directive [Directive 91/676/EEC],19,Other
31991L0692,Council Directive 91/692/EEC,19,Other
31991R3924,Regulation (EEC) No 3924/91,19,Other
31992L0013,Directive 92/13/EEC,19,Other
31992L0029,Directive 92/29/EEC,19,Other
31992L0043,Habitats Directive [Directive 92/43/EEC],19,Other
31992L0075,Energy Labelling Directive [Directive 92/75/EEC],19,Other
31992R0218,Regulation (EEC) No 218/92,19,Other
31992R2408,Council Regulation (EEC) No 2408/92,19,Other
31992R3600,Regulation (EEC) No 3600/92,19,Other
31993L0013,Unfair Terms Directive [Council Directive 93/13/EEC],19,Other
31993L0098,Copyright Term Directive [Council Directive 93/98/EEC],19,Other
31993R0095,Airport Slots Regulation [Regulation (EEC) No 95/93],19,Other
31993R0315,Regulation (EEC) No 315/93,19,Other
31993R0339,Regulation (EEC) No 339/93,19,Other
31993R0696,Regulation (EEC) No 696/93,19,Other
31993R0793,Regulation (EEC) No 793/93,19,Other
31993R1945,Regulation (EEC) No 1945/93,19,Other
31993R2186,Regulation (EEC) No 2186/93,19,Other
31994L0019,Deposit Guarantee Schemes Directive [Directive 94/19/EC],19,Other
31994L0022,Hydrocarbons Licensing Directive [Directive 94/22/EC],19,Other
31994L0028,Directive 94/28/EC,19,Other
31994L0035,Directive 94/35/EC,19,Other
31994L0062,Packaging and Packaging Waste Directive [Directive 94/62/EC],19,Other
31994L0063,Stage I Petrol Vapour Recovery Directive [Directive 94/63/EC],19,Other
31994R0040,Community Trade Mark Regulation [Council Regulation (EC) No 40/94],19,Other
31995L0016,Lifts Directive [Directive 95/16/EC],19,Other
31995L0046,DPD - Data Protection Directive [Directive 95/46/EC] [repealed by GDPR],19,Other
31995R0297,Regulation (EC) No 297/95,19,Other
31995R1683,Uniform Visa Format Regulation [Regulation (EC) No 1683/95],19,Other
31995R2988,"Regulation (EC, Euratom) No 2988/95",19,Other
31995R3095,Regulation (EC) No 3095/95,19,Other
31996L0009,Database Directive [Directive 96/9/EC],19,Other
31996L0059,PCB Directive [Directive 96/59/EC],19,Other
31996L0062,Ambient Air Quality Directive [Directive 96/62/EC],19,Other
31996L0067,Ground Handling Directive [Directive 96/67/EC],19,Other
31996L0075,Directive 96/75/EC,19,Other
31996L0082,Seveso II Directive [Directive 96/82/EC],19,Other
31996L0096,Directive 96/96/EC,19,Other
31996L0098,Marine Equipment Directive [Directive 96/98/EC],19,Other
31996R1257,Humanitarian Aid Regulation [Regulation (EC) No 1257/96],19,Other
31997L0007,Distance Selling Directive [Directive 97/7/EC] [repealed by Directive 2011/83/EU],19,Other
31997L0023,Pressure Equipment Directive [Directive 97/23/EC],19,Other
31997L0066,Telecom Sector Data And Privacy Protection Directive [Directive 97/66/EC] [repealed by ePrivacy Directive 2002/58/EC],19,Other
31997L0067,Postal Services Directive [Directive 97/67/EC],19,Other
31997L0068,Directive 97/68/EC,19,Other
31997R0118,Regulation (EC) No 118/97,19,Other
31997R0338,Wildlife Trade Regulation [Regulation (EC) No 338/97],19,Other
31997R0515,Regulation (EC) No 515/97,19,Other
31997R1290,Regulation (EC) No 1290/97,19,Other
31998L0005,Lawyers Establishment Directive [Directive 98/5/EC],19,Other
31998L0006,Price Indication Directive [Directive 98/6/EC],19,Other
31998L0008,Biocidal Products Directive [Directive 98/8/EC],19,Other
31998L0010,Directive 98/10/EC,19,Other
31998L0015,Commission Directive 98/15/EC,19,Other
31998L0026,Settlement Finality Directive [Directive 98/26/EC],19,Other
31998L0034,Technical Standards Notification Directive [Directive 98/34/EC],19,Other
31998L0041,Directive 98/41/EC,19,Other
31998L0058,Farming Animals Directive [Directive 98/58/EC],19,Other
31998L0070,Fuel Quality Directive [Directive 98/70/EC],19,Other
31998L0071,Designs Directive [Directive 98/71/EC],19,Other
31998L0083,Drinking Water Directive [Directive 98/83/EC],19,Other
31998R0448,Regulation (EC) No 448/98,19,Other
31998R1606,Regulation (EC) No 1606/98,19,Other
31998R2533,Regulation (EC) No 2533/98,19,Other
31998R2679,Regulation (EC) No 2679/98,19,Other
31999L0002,Irradiated Food Directive [Directive 1999/2/EC],19,Other
31999L0004,Directive 1999/4/EC,19,Other
31999L0005,Directive 1999/5/EC,19,Other
31999L0013,Solvents Emissions Directive [Directive 1999/13/EC],19,Other
31999L0031,Landfill Directive [Directive 1999/31/EC],19,Other
31999L0034,Liability For Defective Products Directive [Directive 1999/34/EC],19,Other
31999L0037,Council Directive 1999/37/EC,19,Other
31999L0042,Directive 1999/42/EC,19,Other
31999L0044,Consumer Sales and Guarantees Directive [Directive 1999/44/EC],19,Other
31999L0045,Dangerous Preparations Directive [Directive 1999/45/EC],19,Other
31999L0070,Fixed-Term Work Directive [Council Directive 1999/70/EC],19,Other
31999L0074,Laying Hens Directive [Directive 1999/74/EC],19,Other
31999L0093,Electronic Signatures Directive [Directive 1999/93/EC],19,Other
31999L0094,Car Labelling Directive [Directive 1999/94/EC],19,Other
31999R0307,Regulation (EC) No 307/1999,19,Other
31999R0659,Regulation (EC) No 659/1999,19,Other
31999R0807,Regulation (EC) No 807/1999,19,Other
31999R0856,Regulation (EC) No 856/1999,19,Other
31999R1073,OLAF Regulation [Regulation (EC) No 1073/1999],19,Other
31999R1399,Council Regulation (EC) No 1399/1999,19,Other
31999R2157,Regulation (EC) No 2157/1999,19,Other
32000L0031,eCommerce Directive [Directive 2000/31/EC] [amended by DSA],2,Platform Regulation & Digital Markets
32000L0043,Racial Equality Directive [Directive 2000/43/EC],19,Other
32000L0076,Waste Incineration Directive [Directive 2000/76/EC],19,Other
32000L0078,Employment Equality Directive [Council Directive 2000/78/EC],19,Other
32000R0104,Regulation (EC) No 104/2000,19,Other
32000R0141,Orphan Medicines Regulation [Regulation (EC) No 141/2000],19,Other
32000R1346,Insolvency Regulation [Regulation (EC) No 1346/2000],19,Other
32000R1348,Regulation (EC) No 1348/2000,19,Other
32000R2725,Eurodac Regulation [Regulation (EC) No 2725/2000],19,Other
32001L0014,Directive 2001/14/EC,19,Other
32001L0020,Clinical Trials Directive [Directive 2001/20/EC] [repealed by CTR],19,Other
